Year	Catch per Trip	Catch per oysterman
1986	71.71688638	1328.430233
1987	72.98375068	3202.345521
1988	42.65970687	1686.012195
1989	38.63619391	1492.415865
1990	55.30245033	2141.704225
1991	53.53101834	1982.022472
1992	68.37054496	3107.974026
1993	82.96711275	3886.185662
1994	86.0162519	3229.436441
1995	82.81782836	2950.984887
1996	93.66720807	3203.856725
1997	88.2159084	3801.619423
1998	83.41361028	3338.726744
1999	83.21451559	4707.725543
2000	87.11515066	4607.109726
2001	88.60258011	4306.085393
2002	82.72870645	3832.310881
2003	76.60555093	3650.92328
2004	84.20847608	3892.357771
2005	98.56162438	3263.965517
2006	92.89724152	4456.252525
2007	90.63562836	4851.894505
2008	79.72670274	3796.556237
2009	66.36499901	3707.109005
2010	59.33951047	2390.368347
2011	59.62775919	2907.413146
2012	55.49700793	3348.636475
2013	40.61667287	1444.460294
2014	32.9736591	844.0504886
