	Sum	Mean	Max	Min	Sd	Var	Nobs	CV	se	L95se	U95se
Jan-58	664200	21425.80645	29100	18200	3693.775642	13643978.49	31	0.172398442	663.4216898	20125.49994	22726.11296
Feb-58	858400	30657.14286	57200	19700	9395.011622	88266243.39	28	0.306454247	1775.490308	27177.18185	34137.10386
Mar-58	1521300	49074.19355	97500	30000	18472.3391	341227311.8	31	0.37641656	3317.730043	42571.44266	55576.94443
Apr-58	1251600	41720	67800	27600	11768.99492	138509241.4	30	0.282094797	2148.714665	37508.51926	45931.48074
May-58	662000	21354.83871	28900	17400	2872.842809	8253225.806	31	0.134528893	515.9778004	20343.52222	22366.1552
Jun-58	502100	16736.66667	22800	12400	3709.120477	13757574.71	30	0.22161644	677.1896512	15409.37495	18063.95838
Jul-58	671600	21664.51613	29200	12900	5273.61662	27811032.26	31	0.243421851	947.1695059	19808.0639	23520.96836
Aug-58	543900	17545.16129	23300	14000	2070.078696	4285225.806	31	0.117985732	371.7971094	16816.43896	18273.88362
Sep-58	357860	11928.66667	13700	9620	1194.604922	1427080.92	30	0.100145721	218.104021	11501.18279	12356.15055
Oct-58	320010	10322.90323	15200	7920	2025.960173	4104514.624	31	0.196258759	363.8731888	9609.711776	11036.09468
Nov-58	275000	9166.666667	11600	7950	999.6459143	999291.954	30	0.109052282	182.5095389	8808.94797	9524.385363
Dec-58	374060	12066.45161	16000	9760	1447.649931	2095690.323	31	0.119973127	260.0056031	11556.84063	12576.06259
Jan-59	564100	18196.77419	25000	12800	3254.994508	10594989.25	31	0.178877557	584.6142717	17050.93022	19342.61817
Feb-59	1045900	37353.57143	51800	21000	10775.94998	116121097.9	28	0.288485132	2036.463127	33362.1037	41345.03916
Mar-59	1349800	43541.93548	60700	21200	11333.3365	128444516.1	31	0.260285547	2035.527324	39552.30193	47531.56904
Apr-59	896500	29883.33333	49900	17300	9564.73708	91484195.4	30	0.320069283	1746.274085	26460.63613	33306.03054
May-59	601900	19416.12903	33300	11900	7000.052227	49000731.18	31	0.360527694	1257.246494	16951.9259	21880.33216
Jun-59	1031500	34383.33333	76700	15600	19188.77336	368209023	30	0.558083568	3503.374673	27516.71897	41249.94769
Jul-59	513600	16567.74194	19600	12800	1908.470085	3642258.065	31	0.115191925	342.771346	15895.9101	17239.57377
Aug-59	399700	12893.54839	16300	10800	1427.336794	2037290.323	31	0.110701628	256.3572559	12391.08817	13396.00861
Sep-59	396790	13226.33333	19000	9450	2852.907148	8139079.195	30	0.215699021	520.8671998	12205.43362	14247.23304
Oct-59	490790	15831.93548	26700	8810	4931.069809	24315449.46	31	0.311463486	885.6462824	14096.06877	17567.8022
Nov-59	520650	17355	32500	9750	5409.607513	29263853.45	30	0.311703112	987.6546874	15419.19681	19290.80319
Dec-59	531400	17141.93548	20300	13500	2317.005854	5368516.129	31	0.135165942	416.1465363	16326.28827	17957.58269
Jan-60	821000	26483.87097	34500	17800	4918.678466	24193397.85	31	0.185723547	883.4207314	24752.36633	28215.3756
Feb-60	1386600	47813.7931	54800	32800	5261.906508	27687660.1	29	0.11004997	977.1115085	45898.65455	49728.93166
Mar-60	1206400	38916.12903	46100	30800	4070.880067	16572064.52	31	0.1046065	731.1516439	37483.07181	40349.18625
Apr-60	1998700	66623.33333	158000	30100	39148.19486	1532581161	30	0.587604866	7147.449804	52614.33172	80632.33495
May-60	643100	20745.16129	27800	13800	4355.137863	18967225.81	31	0.209935117	782.2058513	19212.03782	22278.28476
Jun-60	424500	14150	19000	12200	1899.500842	3608103.448	30	0.134240342	346.7998197	13470.27235	14829.72765
Jul-60	424200	13683.87097	17300	12100	1453.753022	2113397.849	31	0.106238434	261.1017506	13172.11154	14195.6304
Aug-60	450100	14519.35484	17600	10600	1754.312658	3077612.903	31	0.1208258	315.0838549	13901.79048	15136.91919
Sep-60	399820	13327.33333	20300	9540	2819.779807	7951158.161	30	0.211578696	514.8190025	12318.28809	14336.37858
Oct-60	440960	14224.51613	20100	9930	3517.940533	12375905.59	31	0.247315304	631.8407719	12986.10822	15462.92404
Nov-60	324180	10806	13000	9620	944.3720775	891838.6207	30	0.087393307	172.4179632	10468.06079	11143.93921
Dec-60	377300	12170.96774	13600	10100	950.8569988	904129.0323	31	0.078125012	170.7789585	11836.24098	12505.6945
Jan-61	411300	13267.74194	17000	11500	1393.409989	1941591.398	31	0.105022392	250.2638219	12777.22484	13758.25903
Feb-61	849100	30325	108000	12100	28989.94238	840416759.3	28	0.955975017	5478.584147	19586.97507	41063.02493
Mar-61	1578000	50903.22581	141000	20200	36923.23102	1363324989	31	0.725361319	6631.60806	37905.27401	63901.1776
Apr-61	1617600	53920	76200	33000	13393.2407	179378896.6	30	0.248390963	2445.260017	49127.29037	58712.70963
May-61	904100	29164.51613	39900	15800	7035.081065	49492365.59	31	0.241220565	1263.537859	26687.98192	31641.05033
Jun-61	582500	19416.66667	29900	12200	5619.429553	31577988.51	30	0.289412681	1025.962776	17405.77963	21427.55371
Jul-61	623300	20106.45161	29700	14200	3877.278726	15033290.32	31	0.192837543	696.3798167	18741.54717	21471.35605
Aug-61	497900	16061.29032	26900	12100	4162.185117	17323784.95	31	0.259143882	747.550515	14596.09131	17526.48933
Sep-61	467800	15593.33333	26200	10200	3863.528255	14926850.57	30	0.247767951	705.3805255	14210.7875	16975.87916
Oct-61	274670	8860.322581	10600	7430	844.0714183	712456.5591	31	0.095264186	151.599702	8563.187165	9157.457997
Nov-61	279840	9328	10300	8410	606.8539562	368271.7241	30	0.065057242	110.795867	9110.840101	9545.159899
Dec-61	918000	29612.90323	67000	10000	19154.42059	366891828	31	0.646826839	3440.235494	22870.04166	36355.76479
Jan-62	993800	32058.06452	46700	20700	7371.782878	54343182.8	31	0.229950965	1324.01129	29463.00239	34653.12664
Feb-62	853300	30475	60600	16900	12792.63749	163651574.1	28	0.419774815	2417.581245	25736.54076	35213.45924
Mar-62	1344500	43370.96774	60600	32200	9008.151625	81146795.7	31	0.207700037	1617.911793	40199.86063	46542.07486
Apr-62	1568700	52290	77000	30900	13696.22022	187586448.3	30	0.261928098	2500.576255	47388.87054	57191.12946
May-62	568700	18345.16129	34100	10300	6746.151432	45510559.14	31	0.367734648	1211.644565	15970.33794	20719.98464
Jun-62	441300	14710	19800	10300	2300.427247	5291965.517	30	0.156385265	419.9986316	13886.80268	15533.19732
Jul-62	389590	12567.41935	17200	9720	2182.597791	4763733.118	31	0.17367112	392.0061355	11799.08733	13335.75138
Aug-62	314870	10157.09677	12000	9370	575.4835274	331181.2903	31	0.05665827	103.3598928	9954.511384	10359.68216
Sep-62	282950	9431.666667	10100	8870	358.1473722	128269.5402	30	0.037972862	65.38846489	9303.505275	9559.828058
Oct-62	277930	8965.483871	11400	6280	1291.907733	1669025.591	31	0.144097937	232.0334786	8510.698253	9420.269489
Nov-62	294480	9816	19500	6560	3446.827227	11880617.93	30	0.351143768	629.3016746	8582.568718	11049.43128
