Year	Norm.CPUE
1958	NA
1959	NA
1960	-1276.079238
1961	776.7075373
1962	558.9375955
1963	0.195109163
1964	-2684.823092
1965	-2196.661844
1966	288.482177
1967	504.5032905
1968	1686.030209
1969	1336.307939
1970	-316.3576105
1971	-113.2091374
1972	561.1849151
1973	-1141.257086
1974	-129.6610472
1975	86.87843128
1976	434.4733764
1977	723.0076559
1978	1655.33222
1979	574.3282284
1980	692.2333622
1981	462.775047
1982	-1673.795236
1983	-1794.46767
1984	984.9348671
1985	NA
1986	NA
1987	982.0521543
1988	-839.3851537
1989	-1394.865338
1990	-1046.567795
1991	-1388.517638
1992	-549.656976
1993	44.74104808
1994	-212.3448209
1995	-738.2944368
1996	-272.5782382
1997	-36.44366634
1998	8.391598006
1999	1691.049065
2000	1413.451885
2001	1136.315508
2002	671.1118694
2003	255.6725419
2004	586.0410453
2005	205.8540702
2006	1327.535067
2007	1714.445982
2008	831.2104562
2009	299.4672012
2010	-782.4592243
2011	-800.3183632
2012	-916.030237
2013	-2189.877604
