Year	Yearly Landings Franklin County	Adjusted Landings	Registered Oysterman	CPUE
1958				
1959				
1960	1744760	1744760	317	5503.974763
1961	2947137	2947137	390	7556.761538
1962	4366700	4366700	595	7338.991597
1963	3810500	3810500	562	6780.24911
1964	2252377	2252377	550	4095.230909
1965	2337530	2337530	510	4583.392157
1966	3809941	3809941	539	7068.536178
1967	4195905	4195905	576	7284.557292
1968	4825668	4825668	570	8466.084211
1969	4350370	4350370	536	8116.36194
1970	3044401	3044401	471	6463.696391
1971	3180085	3180085	477	6666.844864
1972	2980543	2980543	406	7341.238916
1973	2193492	2193492	389	5638.796915
1974	2453995	2453995	369	6650.392954
1975	2032612	2032612	296	6866.932432
1976	2503441	2503441	347	7214.527378
1977	3894089	3894089	519	7503.061657
1978	5566464	5103408.664	605	8435.386221
1979	5809684	5103941.267	694	7354.38223
1980	6409909	5484658.925	734	7472.287363
1981	6616648	5308993.692	733	7242.829048
1982	4153182	3315708.676	649.3420778	5106.258765
1983	3936070	3306999.039	663.3119596	4985.586332
1984	6198862	5208582.23	670.7778103	7764.988868
1985		2806351		
1986		358226.294	172	2082.711012
1987		2135618.767	547	3904.239062
1988		1024738.463	492	2082.801754
1989		635365.773	416	1527.32157
1990		1065351.656	568	1875.619113
1991		955475.955	623	1533.66927
1992		1461478.438	616	2372.529932
1993		1614008.808	544	2966.927956
1994		1279045.465	472	2709.842087
1995		867005.311	397	2183.892471
1996		906166.165	342	2649.60867
1997		1099468.175	381	2885.743241
1998		1008119.006	344	2930.578506
1999		1697670.838	368	4613.235973
2000		1738591.156	401	4335.638793
2001		1806033.575	445	4058.502416
2002		1387013.328	386	3593.298777
2003		1201230.872	378	3177.85945
2004		1196305.732	341	3508.227953
2005		997845.072	319	3128.040978
2006		1682889.902	396	4249.721975
2007		2109667.965	455	4636.63289
2008		1835411.311	489	3753.397364
2009		2039307.051	633	3221.654109
2010		1527765.566	714	2139.727683
2011		1807832	852	2121.868545
2012		1639030	817	2006.156671
2013		497970.3264	680	732.3093036
