
Year	Mean 	Max	Min	1-day	7-day	30-day	60-day	90-day	120-day	60-day	< 9000	< 12000	< 16000	> 16000	> 18000	> 20000	> 30000	> 50000	Winter	Summer	Fall
1958	21971.91782	34358.33333	15620.83333	7920	8237.142857	9166.666667	9421.166667	10264.77778	10831.08333	45723.33333	23	83	152	212	189	153	65	23	33821.11111	19604.83871	10640.32787
1959	22982.63095	35983.33333	13742.5	8810	9370	11820	12303	13492	14328.16667	42508.33333	1	39	126	236	186	142	74	18	32886.66666	14730.64517	17246.72131
1960	24455.36089	36841.66667	16615.83333	9540	10065.71429	10564.66667	11174	11632.66667	12227	55860	0	65	187	178	153	134	98	27	37516.48352	14101.61291	11499.67213
1961	24713.28764	48558.33333	13928.33333	7430	7878.571429	8630.333333	9071.833333	10059	12089.25	56821.66667	28	81	175	188	166	150	90	38	31537.77778	18083.87097	19636.72131
1962	21231.4319	32616.66667	14350	6280	7044.285714	7672.666667	8648.833333	8944.555556	9266.833333	49758.33333	33	155	213	152	138	130	95	32	35462.22222	11362.25806	11225.90164
1963	18149.5041	30875.83333	11198.33333	7450	8322.857143	8750	8947.166667	9005.444444	9146.666667	33155.83333	62	158	199	166	151	125	52	7	27765.55555	15275.96774	12979.83606
1964	38798.89785	68091.66667	22283.33333	12200	13900	15486.66667	19123.33333	23162.22222	21757.5	68305	0	0	32	334	315	284	199	98	54762.63736	26679.03226	30081.96721
1965	26830.66244	41508.33333	18241.66667	11400	11857.14286	12376.66667	13336.66667	14571.11111	14508.33333	53058.33333	0	13	135	227	203	178	119	43	46713.33334	17887.09677	14877.04918
1966	27472.44752	49250	14450	11600	11871.42857	12103.33333	12368.33333	13862.22222	13815	64855	0	17	130	231	197	169	91	38	53226.66667	15238.70968	19218.03279
1967	22213.60471	32700	15325	12000	12214.28571	12706.66667	13868.33333	14584.44444	16140.83333	41476.66667	0	0	157	207	182	157	62	11	35707.77778	18880.64517	22868.85246
1968	15379.725	22708.33333	11787.5	6430	6707.142857	7355.666667	7856.166667	8465.444444	9056.583333	29888.33333	65	168	253	112	82	65	30	3	26191.20879	11006.45162	11080
1969	16779.11674	29933.33333	11999.16667	9990	10398.57143	10750	11086.66667	12075.55556	12498.33333	27888.33333	0	118	239	124	101	71	26	4	19738.88889	12354.67742	11975.40984
1970	19500.78917	35241.66667	13217.5	9750	10045.71429	10342	11619.33333	12239.44444	13020.41667	39766.66667	0	89	188	176	143	106	27	18	26575.55556	15383.87097	15191.63934
1971	28562.03021	46275	16516.66667	11100	11457.14286	12550	13186.66667	13850	16416.66667	57780	0	11	93	272	250	226	119	27	44940	24501.61291	22249.18033
1972	23619.76477	40525	14994.16667	9820	9928.571429	9988.333333	10148.33333	10695.55556	11420	48333.33333	0	77	183	183	167	159	102	24	42003.2967	16875.80645	22257.86885
1973	34114.6275	53700	18950	11500	11628.57143	11786.66667	12666.66667	13482.22222	14430.83333	62740	0	29	91	274	241	211	162	81	51266.66667	19614.51613	15568.85246
1974	23919.00346	35050	16225	10200	10742.85714	11430	11681.66667	12716.66667	13715	47668.33333	0	48	160	203	176	142	84	38	40202.22222	14241.93549	16567.21312
1975	33825.11649	58958.33333	17708.33333	14200	15514.28571	17050	20603.33333	22217.77778	22634.16667	66875	0	0	27	335	302	272	163	54	48616.66666	27417.74194	22340.98361
1976	26570.69553	43975	17308.33333	13300	13357.14286	13796.66667	14316.66667	14962.22222	15425.83333	40923.33333	0	0	90	274	245	222	117	22	33480.21978	18427.41936	29640.98361
1977	22897.50704	33200	15425	10400	10757.14286	11033.33333	11825	12768.88889	12381.66667	44716.66667	0	64	176	189	165	145	76	32	37737.77778	12845.16129	22308.19672
1978	25084.39836	47766.66667	14671.66667	9210	9287.142857	9586	10014.83333	10401	11015.75	55148.33333	0	89	173	191	176	161	88	39	46478.88889	16640.32258	10204.7541
1979	25499.25435	45891.66667	15125	11400	12871.42857	13466.66667	14061.66667	14383.33333	15039.16667	52805	0	1	144	218	180	150	90	37	36563.33333	14803.22581	17603.27869
1980	25073.39637	37891.66667	15866.66667	10100	10228.57143	10266.66667	10235.5	10216.44444	10235.66667	65001.66667	0	116	207	159	153	148	83	49	37464.83516	14587.09678	10291.80328
1981	12653.77042	21295	9132.5	6300	6325.714286	6421.666667	6698.333333	6979.111111	7532.25	28691.66667	95	284	321	44	38	32	25	6	18174.22222	9751.612904	7206.229508
1982	22192.39567	34475	13550	11000	11142.85714	11706.66667	12176.66667	12548.88889	14190	38041.66667	0	35	152	212	184	149	77	13	32966.66667	18324.19355	22549.18033
1983	30141.19752	44183.33333	20258.33333	10700	10885.71429	11826.66667	12311.66667	12543.33333	12717.5	59603.33333	0	40	131	234	218	193	141	64	47521.11111	15838.70968	29521.31147
1984	25955.92819	39075	17783.33333	10800	10871.42857	10953.33333	10985	11585.55556	11943.33333	46076.66667	0	65	143	223	210	181	138	26	42986.81319	22559.67742	12132.78688
1985	15732.54647	21883.33333	12128.33333	9440	9612.857143	9773	10093.5	10767.88889	11327.58333	28110	0	141	257	107	88	45	21	7	22846.66667	11735.32258	16848.68853
1986	14508.61034	21657.5	9885	4680	5322.857143	5620.666667	6004.5	6061.111111	6330.5	29993.33333	135	210	238	127	97	79	30	3	26613.33333	6908.870968	16424.2623
1987	21320.60356	33683.33333	14353.33333	5790	6507.142857	7852.333333	8381.666667	8830.444444	9341.166667	47585	48	136	190	169	141	126	86	23	40466.66667	16409.67742	8740.163935
1988	14220.03572	20133.33333	10785.83333	5450	5510	5614	6258.833333	6953	7784.333333	26738.33333	81	153	263	102	70	59	19	0	22861.53846	6394.83871	12070.4918
1989	20170.60228	30783.33333	13695.83333	8950	9828.571429	10364	11025.33333	11126.88889	11501.83333	41875	1	71	186	174	144	115	65	3	12833.55556	24908.06452	26111.47541
1990	24029.16103	40981.66667	14667.5	6420	6448.571429	8257.666667	8461.666667	8597.111111	8658.5	63168.33333	116	169	206	158	118	109	96	42	58713.33333	9291.290323	9022.131148
1991	24982.24552	40341.66667	16028.33333	7210	7218.571429	9459.333333	11876.33333	12948.66667	13923.16667	39875	30	35	104	258	230	203	100	20	31348.66666	27303.22581	12778.03279
1992	23142.70733	36391.66667	15550	8080	9275.714286	11681	12561.66667	12790.88889	12852.33333	47881.66667	5	43	188	176	167	149	85	31	34837.36264	13188.3871	35970.4918
1993	22573.2756	32383.33333	13945	5550	6205.714286	8561.333333	8852.5	9428.222222	9866.416667	47026.66667	52	128	192	173	147	131	97	36	44091.11111	10938.87097	13872.95082
1994	30358.84601	46750	18015	8280	9950	13468.33333	15119.16667	18112.77778	19657.91667	56325	2	14	37	327	289	254	136	20	28035.55556	54846.7742	27680.32787
1995	21969.10842	31950	13470	7350	7628.571429	10112	10477.33333	10704.55556	11024	47965	55	76	162	202	181	145	58	28	40574.44444	11366.93549	20422.95082
1996	21947.24957	34033.33333	13855	7550	8260	10907.33333	11227.33333	11869.11111	11972.5	47905	9	79	182	182	159	131	63	27	40051.64835	12410.32258	13766.55737
1997	24380.49974	42633.33333	14541.66667	7210	7614.285714	10051.66667	11599.16667	12447.22222	13173.75	52168.33333	12	25	141	223	203	162	85	30	34660	15964.51613	35996.72131
1998	34522.07463	62975	19156.66667	9020	9074.285714	10438.66667	11819.33333	13042.88889	14241	90658.33333	0	71	139	223	177	167	132	97	78397.77778	13651.7742	12908.36066
1999	12099.28405	16996.66667	8942.5	5870	6354.285714	6530.666667	6680.833333	6898.333333	7070.416667	21523.33333	165	209	279	85	67	47	6	0	19615.55556	12010.80645	7513.114754
2000	9939.94395	15602.5	6839.166667	5190	5224.285714	5334	5429	5473.555556	5491.416667	19360	232	270	298	67	57	40	5	0	16064.17583	5477.903226	7599.508196
2001	15443.99443	25501.66667	8727.5	5770	5832.857143	5945.333333	6019.833333	6266.555556	6522.416667	38948.33333	155	203	274	91	77	63	41	19	24803.44445	11669.51613	6709.508197
2002	10966.37724	17926.66667	7506.666667	5690	5714.285714	5769	6129.333333	6257.111111	6536.916667	21341.66667	196	248	300	65	39	25	5	0	12464.88889	6290.16129	17910.16394
2003	26435.85202	44866.66667	16452.5	8090	8785.714286	10629.33333	11166.16667	12698.55556	13217.25	42010	4	51	109	253	231	202	128	29	30191.11111	31519.35484	14483.44263
2004	16745.67853	29391.66667	11002.5	7210	7335.714286	7950.333333	9130.5	9955.333333	9752	25000	62	149	233	133	117	104	35	2	20742.85714	10585.32258	22393.44263
2005	26880.60484	48741.66667	15702.5	8760	8907.142857	9739.666667	10363.66667	12093.55556	13616.83333	44473.33333	7	60	88	274	236	200	96	32	26693.33333	40945.16129	14745.90164
2006	13031.25422	19690.83333	9945	5270	5395.714286	5758	5889.166667	5984	6068.083333	24835	188	203	240	125	101	76	12	0	24474.44445	5965	10316.55738
2007	10089.20609	14403.33333	7822.5	5330	5348.571429	5411.666667	5464	5480.555556	5500.75	22086.66667	243	262	293	70	53	37	7	0	20464.44444	5530.322581	5774.590164
2008	15028.99744	30265.83333	8970.833333	5800	5841.428571	6163.666667	6286	6343.444444	7446.833333	26320	138	194	254	111	86	67	41	10	21646.26374	10048.87097	21019.0164
2009	27476.21646	50650	13449.16667	7080	7652.857143	8735.333333	9407.333333	9910.444444	12749.5	61971.66667	28	108	146	218	204	181	97	56	20858.88889	9425	53362.29508
2010	22739.09076	36480	15036.66667	5730	5740	6869.333333	7115	7322.666667	7757.416667	67413.33333	116	187	203	161	154	136	94	42	51522.22222	9660.161289	8797.04918
2011	10133.92499	14425	7140	5090	5110	5368	5549.333333	5787.888889	5759.166667	21903.33333	241	268	300	63	45	39	9	0	17246.44445	6080.483871	6210.983607
2012	7871.156069	11873.33333	6055.833333	5360	5375.714286	5389	5418.166667	5479.888889	5565	15614.16667	292	317	343	23	17	15	1	0	12948.9011	6028.548387	5451.311476
2013	22912.12391	44950	12213.33333	5600	6390	6856.666667	7078.5	9455.666667	14044.33333	43648.33333	50	106	155	208	184	160	82	19	30204.66667	31985.48387	17244.42623
